timestamp,username,source_ip,result
2026-08-02T10:10:00,charlie,203.0.113.50,failure
not-a-timestamp,invalid-time,192.0.2.40,failure
2026-08-02T10:10:40,diana,203.0.113.50,failure
2026-08-02T10:11:00,,198.51.100.60,failure
2026-08-02T10:11:20,elena,203.0.113.50,failure
2026-08-02T10:12:00,farah,203.0.113.50,failure
2026-08-02T10:12:20,test-user,192.0.2.70,blocked
2026-08-02T10:12:40,george,203.0.113.50,failure
2026-08-02T10:13:20,harry,203.0.113.50,success
2026-08-02T10:14:00,extra-user,192.0.2.80,success,unexpected
